time,miners_revenue
1682467200000,25138492.641376276
1682553600000,24855329.08121931
1682640000000,24962832.073968627
1682726400000,25290414.591296464
1682812800000,25344578.036306877
1682899200000,25745701.584319055
1682985600000,27169894.57480118
1683072000000,27767650.493705723
1683158400000,28385012.278482407
1683244800000,29034974.582763918
1683331200000,28665554.474437088
1683417600000,29546862.04678393
1683504000000,30727092.285716392
1683590400000,31673275.459304202
1683676800000,33361777.149229545
1683763200000,34828143.37287472
1683849600000,35015164.36930117
1683936000000,35330500.67247119
1684022400000,34575688.71460063
1684108800000,33835748.65832237
1684195200000,31815633.313016
1684281600000,30650695.946136747
1684368000000,29304701.780146535
1684454400000,28701799.196920898
1684540800000,28817056.893097647
1684627200000,28408263.16944896
1684713600000,27806233.12910115
1684800000000,27585614.679313812
1684886400000,27303920.848810814
1684972800000,26683251.675361153
1685059200000,26739650.94168248
1685145600000,26637237.378461342
1685232000000,26854334.060594957
1685318400000,27083267.175777685
1685404800000,27729164.974570792
1685491200000,27852448.366881005
1685577600000,27945102.26126239
1685664000000,27595790.022665735
1685750400000,27896741.302324355
