time,n_transactions_total
1668384000000,779087857.2857143
1668470400000,779358959.4285715
1668556800000,779626920.4285715
1668643200000,779893089.0
1668729600000,780155761.4285715
1668816000000,780411982.2857143
1668902400000,780667835.2857143
1668988800000,780926950.1428572
1669075200000,781186205.4285715
1669161600000,781449478.0
1669248000000,781708547.0
1669334400000,781968415.8571428
1669420800000,782229037.0
1669507200000,782486704.0
1669593600000,782739364.1428572
1669680000000,782991457.2857143
1669766400000,783242409.5714285
1669852800000,783495669.8571428
1669939200000,783748817.8571428
1670025600000,784006439.7142857
1670112000000,784265618.2857143
1670198400000,784528173.1428572
1670284800000,784789919.4285715
1670371200000,785053254.7142857
1670457600000,785315499.2857143
1670544000000,785577589.4285715
1670630400000,785836742.7142857
1670716800000,786095317.2857143
1670803200000,786352226.4285715
1670889600000,786609096.5714285
1670976000000,786864435.8571428
1671062400000,787123075.0
1671148800000,787382806.7142857
1671235200000,787643854.1428572
1671321600000,787903191.2857143
1671408000000,788165776.5714285
1671494400000,788427368.8571428
1671580800000,788688598.1428572
1671667200000,788947431.8571428
1671753600000,789205398.2857143
1671840000000,789463053.1428572
1671926400000,789723222.5714285
1672012800000,789976438.8571428
1672099200000,790228584.8571428
1672185600000,790475507.5714285
1672272000000,790718468.1428572
1672358400000,790961466.8571428
1672444800000,791203407.5714285
1672531200000,791447986.2857143
1672617600000,791696772.0
1672704000000,791943058.8571428
1672790400000,792190003.0
1672876800000,792441449.4285715
1672963200000,792693497.2857143
1673049600000,792947604.8571428
1673136000000,793199559.2857143
1673222400000,793452113.4285715
1673308800000,793710628.2857143
1673395200000,793977592.8571428
1673481600000,794248739.8571428
1673568000000,794521461.8571428
1673654400000,794799230.5714285
1673740800000,795082992.5714285
1673827200000,795375524.7142857
1673913600000,795671703.8571428
1674000000000,795969785.1428572
1674086400000,796268987.0
1674172800000,796569721.5714285
1674259200000,796868219.0
1674345600000,797163630.2857143
1674432000000,797456156.2857143
1674518400000,797748282.5714285
1674604800000,798039385.7142857
1674691200000,798327884.4285715
1674777600000,798617458.7142857
1674864000000,798906733.1428572
1674950400000,799197109.8571428
1675036800000,799484531.4285715
1675123200000,799772944.8571428
1675209600000,800063784.4285715
1675296000000,800357763.2857143
1675382400000,800657220.1428572
1675468800000,800962889.7142857
1675555200000,801270108.7142857
1675641600000,801582710.1428572
1675728000000,801894595.1428572
1675814400000,802205440.4285715
1675900800000,802514406.2857143
1675987200000,802819484.5714285
1676073600000,803128464.2857143
1676160000000,803435361.4285715
1676246400000,803738824.5714285
1676332800000,804043223.5714285
1676419200000,804346864.1428572
1676505600000,804650813.5714285
1676592000000,804955828.0
1676678400000,805257613.4285715
1676764800000,805562314.0
1676851200000,805866292.5714285
1676937600000,806167579.4285715
1677024000000,806464990.1428572
1677110400000,806760556.5714285
1677196800000,807050040.0
1677283200000,807331828.1428572
1677369600000,807609792.2857143
1677456000000,807885143.5714285
1677542400000,808165708.1428572
1677628800000,808449414.5714285
1677715200000,808739331.8571428
1677801600000,809043375.0
1677888000000,809352947.4285715
1677974400000,809671259.0
1678060800000,809996482.8571428
1678147200000,810323155.1428572
1678233600000,810653053.0
1678320000000,810986830.8571428
1678406400000,811308237.8571428
1678492800000,811630493.7142857
1678579200000,811948884.2857143
1678665600000,812269238.0
1678752000000,812586659.7142857
1678838400000,812906476.7142857
1678924800000,813221542.8571428
1679011200000,813543844.0
1679097600000,813860342.5714285
1679184000000,814178342.2857143
1679270400000,814493017.2857143
1679356800000,814808021.2857143
1679443200000,815124127.7142857
1679529600000,815440464.2857143
1679616000000,815749969.8571428
1679702400000,816059385.5714285
1679788800000,816362332.0
1679875200000,816664316.4285715
1679961600000,816965078.7142857
1680048000000,817259652.7142857
1680134400000,817552615.0
1680220800000,817850526.8571428
1680307200000,818153121.5714285
1680393600000,818457827.1428572
1680480000000,818766625.5714285
1680566400000,819087032.2857143
1680652800000,819412830.1428572
1680739200000,819753330.7142857
1680825600000,820095915.0
1680912000000,820442315.1428572
1680998400000,820795389.8571428
1681084800000,821148412.1428572
1681171200000,821492255.0
1681257600000,821829898.4285715
1681344000000,822162158.8571428
1681430400000,822493526.1428572
1681516800000,822821567.8571428
1681603200000,823144015.4285715
1681689600000,823460420.2857143
1681776000000,823770402.4285715
1681862400000,824084124.7142857
1681948800000,824387782.5714285
1682035200000,824685724.0
1682121600000,824978863.7142857
1682208000000,825277287.8571428
1682294400000,825586857.7142857
1682380800000,825924883.2857143
1682467200000,826269209.5714285
1682553600000,826621626.1428572
1682640000000,826993611.8571428
1682726400000,827383052.5714285
1682812800000,827791075.4285715
1682899200000,828217996.8571428
1682985600000,828664321.2857143
1683072000000,829156481.2857143
1683158400000,829661223.0
1683244800000,830173612.7142857
1683331200000,830696181.4285715
1683417600000,831208759.4285715
1683504000000,831737373.0
1683590400000,832272132.5714285
1683676800000,832791607.1428572
1683763200000,833331002.4285715
1683849600000,833896339.1428572
1683936000000,834469598.7142857
1684022400000,835056693.7142857
1684108800000,835640596.4285715
1684195200000,836227558.2857143
1684281600000,836807286.7142857
1684368000000,837382736.7142857
1684454400000,837945359.4285715
1684540800000,838498076.4285715
1684627200000,839051533.0
1684713600000,839583370.2857143
1684800000000,840094297.8571428
1684886400000,840601918.4285715
1684972800000,841102525.1428572
1685059200000,841577801.2857143
1685145600000,842050749.0
1685232000000,842526253.5714285
1685318400000,843008352.5714285
1685404800000,843491851.1428572
1685491200000,843982411.1428572
1685577600000,844472589.7142857
1685664000000,844965180.4285715
1685750400000,845442672.5714285
1685836800000,845912648.5714285
1685923200000,846369795.1428572
1686009600000,846808019.2857143
1686096000000,847218885.4285715
1686182400000,847622292.4285715
1686268800000,848027312.5714285
1686355200000,848439859.7142857
1686441600000,848839006.5714285
1686528000000,849235680.0
1686614400000,849637678.7142857
1686700800000,850041410.4285715
1686787200000,850437518.8571428
1686873600000,850818896.1428572
1686960000000,851202728.7142857
1687046400000,851604578.7142857
1687132800000,852022258.1428572
1687219200000,852445353.1428572
1687305600000,852874794.0
1687392000000,853309760.8571428
1687478400000,853749582.2857143
