time,output_volume
1674950400000,742310.6937493224
1675036800000,731316.1666169146
1675123200000,742116.4124094514
1675209600000,763418.2923312115
1675296000000,772617.3545967329
1675382400000,771529.4826430172
1675468800000,774491.8522602365
1675555200000,773058.7211317573
1675641600000,768408.5984182514
1675728000000,732318.0360219673
1675814400000,692688.3780853251
1675900800000,656649.2886844078
1675987200000,664039.1366651234
1676073600000,745779.4572270813
1676160000000,792525.537198501
1676246400000,815292.2642352608
1676332800000,844035.3363445222
1676419200000,863118.6590822128
1676505600000,885243.3914656547
1676592000000,911208.8998210498
1676678400000,846694.2360273821
1676764800000,814066.4604425095
1676851200000,785288.6919849645
1676937600000,760337.4433840743
1677024000000,770497.2682561399
1677110400000,770322.6733058799
1677196800000,746053.8705041076
1677283200000,734623.8337003735
1677369600000,729444.5911915273
1677456000000,736898.9529336302
1677542400000,746058.4922638288
1677628800000,746688.4456893512
1677715200000,751003.6374480875
1677801600000,747980.7991281571
1677888000000,762442.8039675887
1677974400000,763020.8614107136
1678060800000,767720.5127784752
1678147200000,768778.6974174563
1678233600000,782186.501217397
1678320000000,785694.4220320239
1678406400000,789307.1507147879
1678492800000,795709.2135775861
1678579200000,847932.2655957853
1678665600000,860175.2333092571
1678752000000,915973.495870517
1678838400000,949537.0178167975
1678924800000,966009.8640916374
1679011200000,968805.920605356
1679097600000,990640.066770874
1679184000000,968618.0774603344
1679270400000,999528.5991371594
1679356800000,1021490.6455532806
1679443200000,1020076.7756888036
1679529600000,1029679.5088787073
1679616000000,1055516.9108129044
1679702400000,1047504.4947713038
1679788800000,1041244.1887502236
1679875200000,1019919.5211180059
1679961600000,992029.3774633391
1680048000000,990071.0579192614
1680134400000,1000016.5119943962
1680220800000,1067094.1204271277
1680307200000,1064833.0537810666
1680393600000,1071407.6269054732
1680480000000,1073877.0125991774
1680566400000,1066158.6135697837
1680652800000,1059487.001424325
1680739200000,1059091.502348853
1680825600000,990125.69642493
1680912000000,946600.7583423263
1680998400000,917399.7823326859
1681084800000,894168.2211354708
1681171200000,877453.5489507307
1681257600000,858130.8080928747
1681344000000,867425.3940524368
1681430400000,831348.9110331703
1681516800000,868008.2838952829
1681603200000,894421.9067792145
1681689600000,900650.4823674854
1681776000000,922413.7237025278
1681862400000,899009.9634580674
1681948800000,842389.2076933447
1682035200000,843830.9645445822
1682121600000,816539.4724252631
1682208000000,785889.8974782816
1682294400000,764885.8025409271
1682380800000,724189.300712621
1682467200000,723937.5895118705
1682553600000,739808.9347638823
1682640000000,751250.6930858486
1682726400000,754857.9812365157
1682812800000,759996.217995582
1682899200000,787041.2320715579
1682985600000,787260.838651658
1683072000000,769474.1148268927
