time,hash_rate
1662854400000,228781814.1653135
1662940800000,232081551.86962095
1663027200000,232081551.86962095
1663113600000,231125783.80316097
1663200000000,227909608.2395609
1663286400000,233424481.76152062
1663372800000,230215892.75063857
1663459200000,234365379.3897695
1663545600000,229154215.6133512
1663632000000,225080869.65342325
1663718400000,229389618.86922815
1663804800000,232575585.79796743
1663891200000,228251773.53753558
1663977600000,229844757.0019052
1664064000000,224383099.4097807
1664150400000,222790115.94541103
1664236800000,227341497.27218145
1664323200000,222107408.74639544
1664409600000,223489276.66114253
1664496000000,226207379.9805353
1664582400000,233122853.25568995
1664668800000,240207537.6104124
1664755200000,241719711.28021336
1664841600000,241881060.04867586
1664928000000,248825712.31721595
1665014400000,254330138.6842382
1665100800000,257893433.09662682
1665187200000,258338844.89817542
1665273600000,257002609.49352965
1665360000000,257225315.39430395
1665446400000,263180398.3160465
1665532800000,266582891.0902486
1665619200000,262255135.39905593
1665705600000,263008007.41708285
1665792000000,264375964.10228553
1665878400000,263841541.65317035
1665964800000,265070008.45477676
1666051200000,262751549.23456874
1666137600000,258958215.99249122
1666224000000,262498660.35176355
1666310400000,263004438.1173739
1666396800000,263004438.11737388
1666483200000,258958215.9924912
1666569600000,261757390.71242118
1666656000000,259399942.9701245
1666742400000,255403382.86748463
1666828800000,257763206.60187608
1666915200000,256408615.88626346
1667001600000,258550344.75599608
1667088000000,261564453.08436403
1667174400000,257663576.5316266
1667260800000,267342309.86327145
1667347200000,273097232.38479
1667433600000,264464848.60251215
1667520000000,272050882.835423
1667606400000,264203261.21517038
1667692800000,266295960.31390437
1667779200000,266819135.0885879
1667865600000,259162652.14810413
1667952000000,264047752.21623155
1668038400000,271032857.1749895
1668124800000,266509160.77526692
1668211200000,267747170.84668106
1668297600000,271845421.38367
1668384000000,269685404.6310329
1668470400000,264198331.6041959
1668556800000,262109807.2436884
1668643200000,262370872.78875187
1668729600000,260021282.88318095
1668816000000,261326610.60849813
1668902400000,256105299.7072294
1668988800000,261338645.16110817
1669075200000,263077533.68556604
1669161600000,255675116.61526704
1669248000000,253514068.0339201
1669334400000,251336973.3824265
1669420800000,247324396.88041547
1669507200000,237549657.9718377
1669593600000,234325626.79506588
1669680000000,236949653.9708225
1669766400000,238261667.55870083
1669852800000,237474459.40597385
1669939200000,243772124.62778974
1670025600000,244296930.06294107
1670112000000,250069789.84960562
1670198400000,251119400.71990827
1670284800000,252956219.7429379
1670371200000,251622832.88591573
1670457600000,257239076.82300544
1670544000000,257703355.0266192
1670630400000,261867134.41282845
1670716800000,264942867.48152012
1670803200000,263954681.1342534
1670889600000,260419338.50565988
1670976000000,267503493.36502394
1671062400000,261667053.50978708
1671148800000,254857873.67867735
1671235200000,249507803.81137687
1671321600000,245616843.9078856
1671408000000,245130473.91994923
1671494400000,243778056.23455873
1671580800000,238811677.25203922
1671667200000,238732853.41745564
1671753600000,238833600.52731538
1671840000000,240369602.33241248
1671926400000,229161243.92893487
1672012800000,229309701.57593825
1672099200000,228283305.89436284
1672185600000,222004887.14039245
1672272000000,228283305.89436284
1672358400000,229790126.3953157
1672444800000,236319681.8994449
1672531200000,253145844.16008553
1672617600000,256661758.66230896
1672704000000,263442450.91659695
1672790400000,271973650.6206092
1672876800000,264405031.1669105
1672963200000,267006705.11450508
1673049600000,270907684.7651942
1673136000000,269015964.35747683
1673222400000,267133266.33227512
1673308800000,264757317.18927127
1673395200000,268262719.34870163
1673481600000,269231176.81927454
1673568000000,267778490.61341515
1673654400000,262694088.89290723
1673740800000,266810033.14284223
1673827200000,269802335.8626861
1673913600000,272242215.3019266
1674000000000,272968676.8170084
1674086400000,274750496.5077502
1674172800000,276898595.57557255
1674259200000,273639463.89835006
1674345600000,269076644.0265929
1674432000000,269349895.85646904
1674518400000,272286316.92130667
1674604800000,265078737.9439779
1674691200000,274421895.87755215
1674777600000,277091369.5728591
1674864000000,282964211.7025343
1674950400000,290972632.7884551
1675036800000,295092344.6738234
1675123200000,291478680.6472481
1675209600000,289179153.61051714
1675296000000,280747934.8790267
1675382400000,279891258.92129654
1675468800000,275948137.2583775
